timestep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	lx	hpmc_overlap_count	hpmc_patch_energy	time	temp
0	0	0	0.2	0.2	12	0	0	1.476898	1.349
10000	0.4632352941	0.6877192982	1	1	12	0	-332.1717224	3.207755	1.349
20000	0.512	0.6465863454	1	1	12	0	-319.2023315	4.452999	1.349
30000	0.4545454545	0.6413043478	1	1	12	0	-338.4427795	5.697724	1.349
40000	0.5076923077	0.6088435374	1	1	12	0	-419.0684814	6.938641	1.349
50000	0.597826087	0.7142857143	1	1	12	0	-358.5393066	8.175569	1.349
60000	0.4193548387	0.6905660377	1	1	12	0	-323.4920349	9.410695	1.349
70000	0.5035971223	0.6988847584	1	1	12	0	-392.6906433	10.65073	1.349
80000	0.3597122302	0.6167247387	1	1	12	0	-319.7060547	11.890818	1.349
90000	0.5	0.6185185185	1	1	12	0	-359.6693726	13.129025	1.349
100000	0.4838709677	0.6795366795	1	1	12	0	-369.0223083	14.376128	1.349
110000	0.5862068966	0.640167364	1	1	12	0	-337.0454712	15.629153	1.349
120000	0.4333333333	0.6643109541	1	1	12	0	-335.5041199	16.863669	1.349
130000	0.4827586207	0.7439446367	1	1	12	0	-313.1853027	18.100012	1.349
140000	0.5617977528	0.6489795918	1	1	12	0	-301.3077087	19.34059	1.349
150000	0.4740740741	0.7107142857	1	1	12	0	-337.3087463	20.580395	1.349
160000	0.48	0.7084870849	1	1	12	0	-338.124176	21.819605	1.349
170000	0.46	0.577689243	1	1	12	0	-370.9807739	23.056567	1.349
180000	0.368	0.697761194	1	1	12	0	-430.1130676	24.29634	1.349
190000	0.525	0.7247706422	1	1	12	0	-357.8054504	25.530856	1.349
200000	0.4809160305	0.6826086957	1	1	12	0	-312.20401	26.768905	1.349
210000	0.5338345865	0.752688172	1	1	12	0	-326.4500427	28.001645	1.349
220000	0.4263565891	0.6615969582	1	1	12	0	-329.79422	29.236354	1.349
230000	0.5298013245	0.7297297297	1	1	12	0	-290.4613953	30.476422	1.349
240000	0.4460431655	0.6979865772	1	1	12	0	-429.839447	31.716225	1.349
250000	0.4553571429	0.6602316602	1	1	12	0	-378.884613	32.953484	1.349
260000	0.3941605839	0.679389313	1	1	12	0	-329.5652771	34.191868	1.349
270000	0.3873873874	0.5802919708	1	1	12	0	-348.623291	35.431502	1.349
280000	0.4388489209	0.6507936508	1	1	12	0	-375.6192932	36.663383	1.349
290000	0.4580152672	0.6620689655	1	1	12	0	-351.7311096	37.900717	1.349
300000	0.4341085271	0.7729257642	1	1	12	0	-305.3954163	39.134688	1.349
310000	0.4778761062	0.6744186047	1	1	12	0	-357.1554871	40.372225	1.349
320000	0.4328358209	0.6943396226	1	1	12	0	-368.3703613	41.608501	1.349
330000	0.5	0.6713286713	1	1	12	0	-361.0406189	42.857999	1.349
340000	0.5128205128	0.73828125	1	1	12	0	-256.8878174	44.097767	1.349
350000	0.4585987261	0.7203065134	1	1	12	0	-335.6243286	45.337626	1.349
360000	0.5263157895	0.5967078189	1	1	12	0	-341.5820618	46.586224	1.349
370000	0.3783783784	0.615916955	1	1	12	0	-307.0227966	47.823551	1.349
